code_muni;territorialidades;densidade_demografica
4200051;abdon batista;11,26
4200101;abelardo luz;17,90
4200408;agua doce;5,30
4200507;aguas de chapeco;43,92
4200556;aguas frias;32,25
4200754;alto bela vista;19,35
4200804;anchieta;27,91
4201273;arabuta;31,71
4201653;arvoredo;24,91
4202081;bandeirante;19,87
4202099;barra bonita;20,09
4202156;belmonte;28,15
4202537;bom jesus;39,75
4202578;bom jesus do oeste;31,40
4203105;caibi;36,22
4203501;campo ere;19,57
4203600;campos novos;19,09
4203907;capinzal;85,15
4204004;catanduvas;48,25
4204103;caxambu do sul;31,38
4204152;celso ramos;13,36
4204202;chapeco;293,98
4204301;concordia;86,07
4204350;cordilheira alta;44,97
4204400;coronel freitas;43,62
4204459;coronel martins;22,88
4204707;cunha pora;48,18
4204756;cunhatai;34,53
4204905;descanso;30,23
4205001;dionisio cerqueira;39,21
4205175;entre rios;28,70
4205209;erval velho;21,00
4205308;faxinal dos guedes;31,39
4205357;flor do sertao;27,05
4205431;formosa do sul;26,12
4205605;galvao;28,48
4206405;guaraciaba;31,75
4206603;guaruja do sul;48,82
4206652;guatambu;22,85
4206702;herval d'oeste;97,95
4206801;ibicare;21,61
4207601;ipira;30,57
4207650;ipora do oeste;41,55
4207684;ipuacu;26,01
4207700;ipumirim;29,22
4207759;iraceminha;25,87
4207809;irani;29,14
4207858;irati;27,04
4208005;ita;38,84
4208401;itapiranga;55,01
4208609;jabora;21,14
4208955;jardinopolis;25,93
4209003;joacaba;116,29
4209177;jupia;23,42
4209201;lacerdopolis;32,12
4209458;lajeado grande;22,60
4209854;lindoia do sul;24,49
4210035;luzerna;47,93
4210506;maravilha;130,43
4210555;marema;21,26
4210902;modelo;43,63
4211009;mondai;50,91
4211405;nova erechim;66,38
4211454;nova itaberaba;31,01
4211652;novo horizonte;18,13
4211801;ouro;34,66
4211850;ouro verde;12,00
4211876;paial;20,56
4212007;palma sola;23,40
4212106;palmitos;45,68
4212239;paraiso;22,84
4212270;passos maia;7,20
4212601;peritiba;31,00
4212908;pinhalzinho;127,30
4213104;piratuba;32,85
4213153;planalto alegre;42,37
4213401;ponte serrada;19,56
4213906;presidente castello branco;26,39
4214151;princesa;31,99
4214201;quilombo;36,69
4215075;riqueza;25,43
4215208;romelandia;24,81
4215356;saltinho;25,30
4215554;santa helena;29,41
4215687;santa terezinha do progresso;24,34
4215695;santiago do sul;19,91
4215752;sao bernardino;18,47
4216008;sao carlos;64,73
4216107;sao domingos;24,74
4216255;sao joao do oeste;36,88
4216701;sao jose do cedro;48,94
4216909;sao lourenco do oeste;60,24
4217154;sao miguel da boa vista;26,47
4217204;sao miguel do oeste;154,89
4217303;saudades;43,86
4217501;seara;54,19
4217550;serra alta;36,32
4217758;sul brasil;24,54
4217956;tigrinhos;30,59
4218509;treze tilias;34,24
4218756;tunapolis;34,86
4218855;uniao do oeste;31,27
4219101;vargeao;21,22
4219150;vargem;8,02
4219176;vargem bonita;16,05
4219507;xanxere;116,88
4219606;xavantina;19,26
4219705;xaxim;87,25
4219853;zortea;15,73
