code_muni;territorialidades;pib_percapta
4200408;agua doce;28606,48240924390
4200507;aguas de chapeco;26428,21317174670
4200556;aguas frias;18869,47014741660
4200754;alto bela vista;16012,71211932970
4200804;anchieta;17121,86316823500
4201273;arabuta;16474,71793724450
4201653;arvoredo;16608,10825058770
4202081;bandeirante;9487,14536821635
4202099;barra bonita;12951,59806644370
4202156;belmonte;10296,34353670880
4202537;bom jesus;17041,48740372040
4202578;bom jesus do oeste;30065,75244348130
4203105;caibi;15893,26190184740
4203501;campo ere;20768,27946387250
4203600;campos novos;35319,55424564690
4203907;capinzal;20746,00882659890
4204004;catanduvas;19447,25165376930
4204103;caxambu do sul;22583,81624675680
4204152;celso ramos;12465,34997823250
4204202;chapeco;24839,97078456580
4204301;concordia;24378,47470946640
4204350;cordilheira alta;50058,82576342480
4204400;coronel freitas;15080,22536982690
4204459;coronel martins;10177,01596511950
4204707;cunha pora;38821,35502355840
4204756;cunhatai;12573,14599099720
4204905;descanso;13362,43888330250
4205001;dionisio cerqueira;12876,16212865740
4205175;entre rios;8058,91544288090
4205209;erval velho;15024,36254787150
4205308;faxinal dos guedes;30522,43288622290
4205357;flor do sertao;10740,55512842440
4205431;formosa do sul;11008,93809307170
4205605;galvao;22358,36520668240
4206405;guaraciaba;15520,73446102440
4206603;guaruja do sul;13844,61078424680
4206652;guatambu;38084,95831771570
4206702;herval d'oeste;14978,14577442660
4206801;ibicare;14836,83037855870
4207601;ipira;10506,22454346230
4207650;ipora do oeste;14408,09993676560
4207684;ipuacu;16175,54919507820
4207700;ipumirim;22750,20453026250
4207759;iraceminha;12714,86143744040
4207809;irani;12116,39995552690
4207858;irati;30802,92552497480
4208005;ita;20425,84662114800
4208401;itapiranga;22924,76270041230
4208609;jabora;19489,45523141690
4208955;jardinopolis;15423,98727462980
4209003;joacaba;34504,11650812650
4209177;jupia;12017,78323793890
4209201;lacerdopolis;35457,77097580750
4209458;lajeado grande;15229,39161650160
4209854;lindoia do sul;18065,03509523650
4210035;luzerna;17703,96389160250
4210506;maravilha;28488,95224409220
4210555;marema;30160,49894419780
4210902;modelo;23020,78623476960
4211009;mondai;25087,07063132970
4211405;nova erechim;18898,36295014000
4211454;nova itaberaba;22362,96525689080
4211652;novo horizonte;16586,36295995390
4211801;ouro;11758,18742793260
4211850;ouro verde;19729,35681433720
4211876;paial;12555,61833165990
4212007;palma sola;16951,56777868740
4212106;palmitos;20291,89034535780
4212239;paraiso;18342,10239155380
4212270;passos maia;22178,79875068300
4212601;peritiba;15279,69453380320
4212908;pinhalzinho;33596,49587588620
4213104;piratuba;98552,89519945600
4213153;planalto alegre;25447,16516794190
4213401;ponte serrada;13982,67894345990
4213906;presidente castello branco;15896,56558567930
4214151;princesa;9709,76163945621
4214201;quilombo;35806,00575423570
4215075;riqueza;9786,20923968226
4215208;romelandia;14751,51289488910
4215356;saltinho;11396,28886976960
4215554;santa helena;13411,81190457870
4215687;santa terezinha do progresso;10240,65768765020
4215695;santiago do sul;18547,37991903170
4215752;sao bernardino;25250,93463577040
4216008;sao carlos;19106,57253763570
4216107;sao domingos;18940,84575770100
4216255;sao joao do oeste;17374,94025845460
4216701;sao jose do cedro;17525,16324394160
4216909;sao lourenco do oeste;20713,33075915720
4217154;sao miguel da boa vista;11655,67756857200
4217204;sao miguel do oeste;24867,09938163160
4217303;saudades;21126,34962958170
4217501;seara;28010,86880276460
4217550;serra alta;23665,54783858230
4217758;sul brasil;25189,20001485150
4217956;tigrinhos;10733,95936699000
4218509;treze tilias;31407,11522268160
4218756;tunapolis;13094,62609535710
4218855;uniao do oeste;24081,55453968430
4219101;vargeao;47709,27827327420
4219150;vargem;11232,63608939670
4219176;vargem bonita;47580,33656365990
4219507;xanxere;21476,44095485120
4219606;xavantina;21526,98573438720
4219705;xaxim;21109,74400006100
4219853;zortea;11569,98712243360
