code_muni;territorialidades;receitas
4200051;abdon batista;9544398,1100000
4200101;abelardo luz;35460503,7700000
4200408;agua doce;16687965,0800000
4200507;aguas de chapeco;12323719,4600000
4200556;aguas frias;8192065,1400000
4200754;alto bela vista;8977094,0000000
4200804;anchieta;10234690,1400000
4201273;arabuta;10908943,0000000
4201653;arvoredo;8084192,0000000
4202081;bandeirante;7402203,3300000
4202099;barra bonita;6590880,1900000
4202156;belmonte;7423994,8700000
4202537;bom jesus;8590005,8700000
4202578;bom jesus do oeste;7440652,6700000
4203105;caibi;11109245,4400000
4203501;campo ere;18591802,6200000
4203600;campos novos;64737897,1000000
4203907;capinzal;38919090,7599999
4204004;catanduvas;16694161,8700000
4204103;caxambu do sul;10243952,5700000
4204152;celso ramos;8933461,7900000
4204202;chapeco;328591838,4400000
4204301;concordia;124373707,3200000
4204350;cordilheira alta;11377151,1100000
4204400;coronel freitas;18452305,6800000
4204459;coronel martins;7634086,7000000
4204707;cunha pora;16105753,0800000
4204756;cunhatai;9158250,6200000
4204905;descanso;13407429,4600000
4205001;dionisio cerqueira;23622538,0000000
4205175;entre rios;8806546,4700000
4205209;erval velho;9892802,0800000
4205308;faxinal dos guedes;19624894,6000000
4205357;flor do sertao;7401241,2000000
4205431;formosa do sul;7897562,2600000
4205605;galvao;8887144,8300000
4206405;guaraciaba;15398441,1700000
4206603;guaruja do sul;10461207,5199999
4206652;guatambu;11222139,4100000
4206702;herval d'oeste;29241389,4400000
4206801;ibicare;8951908,5100000
4207601;ipira;10075095,7500000
4207650;ipora do oeste;14708805,6200000
4207684;ipuacu;13757797,5400000
4207700;ipumirim;14827619,2899999
4207759;iraceminha;9631925,3900000
4207809;irani;15412108,1800000
4207858;irati;6604176,9500000
4208005;ita;29574082,1000000
4208401;itapiranga;30521860,8900000
4208609;jabora;10454615,7000000
4208955;jardinopolis;6872219,5800000
4209003;joacaba;70869961,6700000
4209177;jupia;7415629,5300000
4209201;lacerdopolis;7995199,8100000
4209458;lajeado grande;6935543,4300000
4209854;lindoia do sul;11771299,4200000
4210035;luzerna;11460982,4500000
4210506;maravilha;34394940,8200000
4210555;marema;8043939,5500000
4210902;modelo;10869552,2200000
4211009;mondai;16556691,0900000
4211405;nova erechim;10399336,4500000
4211454;nova itaberaba;9836276,1300000
4211652;novo horizonte;9003057,4300000
4211801;ouro;11816085,4100000
4211850;ouro verde;9885749,5800000
4211876;paial;7395967,6300000
4212007;palma sola;13271815,8200000
4212106;palmitos;24849710,3000000
4212239;paraiso;9142599,4700000
4212270;passos maia;13182629,7500000
4212601;peritiba;8298528,2100000
4212908;pinhalzinho;27204396,7700000
4213104;piratuba;24738079,6800000
4213153;planalto alegre;7654508,1800000
4213401;ponte serrada;17099874,8299999
4214151;princesa;7134543,1600000
4214201;quilombo;17737590,9899999
4215075;riqueza;9986645,7400000
4215208;romelandia;8912368,7000000
4215356;saltinho;8403174,1700000
4215554;santa helena;7497323,3000000
4215687;santa terezinha do progresso;7813665,6700000
4215695;santiago do sul;7168405,7400000
4215752;sao bernardino;8530376,5300000
4216008;sao carlos;24545470,3400000
4216107;sao domingos;17365978,2300000
4216255;sao joao do oeste;12525004,4300000
4216701;sao jose do cedro;21742736,1000000
4216909;sao lourenco do oeste;38741480,8400000
4217154;sao miguel da boa vista;6798520,3600000
4217204;sao miguel do oeste;47909649,0900000
4217303;saudades;19668036,1900000
4217501;seara;29534335,9400000
4217550;serra alta;8766777,8700000
4217758;sul brasil;7545967,6700000
4217956;tigrinhos;7224991,1700000
4218509;treze tilias;14777741,1400000
4218756;tunapolis;10557631,5399999
4218855;uniao do oeste;9022688,0000000
4219101;vargeao;10078939,7200000
4219150;vargem;7859164,3700000
4219176;vargem bonita;14018507,9500000
4219507;xanxere;67229819,5300000
4219606;xavantina;10499977,2000000
4219705;xaxim;49208178,1500000
4219853;zortea;9671275,8900000
