code_muni;territorialidades;vab_servicos
4200051;abdon batista;6404
4200101;abelardo luz;169656
4200408;agua doce;44374
4200507;aguas de chapeco;36505
4200556;aguas frias;19246
4200754;alto bela vista;6895
4200804;anchieta;34208
4201273;arabuta;15470
4201653;arvoredo;6761
4202081;bandeirante;4570
4202099;barra bonita;3393
4202156;belmonte;6196
4202537;bom jesus;16906
4202578;bom jesus do oeste;18399
4203105;caibi;32219
4203501;campo ere;78459
4203600;campos novos;305181
4203907;capinzal;176788
4204004;catanduvas;70090
4204103;caxambu do sul;28342
4204152;celso ramos;7865
4204202;chapeco;2361302
4204301;concordia;712633
4204350;cordilheira alta;106614
4204400;coronel freitas;43948
4204459;coronel martins;5285
4204707;cunha pora;174896
4204756;cunhatai;5429
4204905;descanso;41697
4205001;dionisio cerqueira;78938
4205175;entre rios;5174
4205209;erval velho;18604
4205308;faxinal dos guedes;72855
4205357;flor do sertao;3354
4205431;formosa do sul;6688
4205605;galvao;26391
4206405;guaraciaba;52866
4206603;guaruja do sul;28112
4206652;guatambu;61711
4206702;herval d'oeste;121940
4206801;ibicare;14360
4207601;ipira;13291
4207650;ipora do oeste;39682
4207684;ipuacu;34451
4207700;ipumirim;53471
4207759;iraceminha;12640
4207809;irani;36953
4207858;irati;18424
4208005;ita;48808
4208401;itapiranga;135330
4208609;jabora;19024
4208955;jardinopolis;4696
4209003;joacaba;506141
4209177;jupia;5486
4209201;lacerdopolis;24947
4209458;lajeado grande;3535
4209854;lindoia do sul;23120
4210035;luzerna;36098
4210506;maravilha;270410
4210555;marema;18614
4210902;modelo;33552
4211009;mondai;56907
4211405;nova erechim;24859
4211454;nova itaberaba;23701
4211652;novo horizonte;12032
4211801;ouro;26298
4211850;ouro verde;11013
4211876;paial;4045
4212007;palma sola;39222
4212106;palmitos;116486
4212239;paraiso;21479
4212270;passos maia;24151
4212601;peritiba;14289
4212908;pinhalzinho;213813
4213104;piratuba;35595
4213153;planalto alegre;20211
4213401;ponte serrada;58637
4213906;presidente castello branco;5691
4214151;princesa;5251
4214201;quilombo;159898
4215075;riqueza;11589
4215208;romelandia;24129
4215356;saltinho;7697
4215554;santa helena;7556
4215687;santa terezinha do progresso;4672
4215695;santiago do sul;5000
4215752;sao bernardino;19576
4216008;sao carlos;65662
4216107;sao domingos;67291
4216255;sao joao do oeste;32999
4216701;sao jose do cedro;99558
4216909;sao lourenco do oeste;177918
4217154;sao miguel da boa vista;6160
4217204;sao miguel do oeste;446887
4217303;saudades;45687
4217501;seara;170993
4217550;serra alta;25331
4217758;sul brasil;17377
4217956;tigrinhos;2622
4218509;treze tilias;80363
4218756;tunapolis;15766
4218855;uniao do oeste;19937
4219101;vargeao;62044
4219150;vargem;5436
4219176;vargem bonita;34305
4219507;xanxere;472079
4219606;xavantina;20439
4219705;xaxim;187324
4219853;zortea;9022
