code_muni;territorialidades;vab_industria
4200051;abdon batista;4888
4200101;abelardo luz;103033
4200408;agua doce;39737
4200507;aguas de chapeco;75533
4200556;aguas frias;3787
4200754;alto bela vista;3841
4200804;anchieta;27071
4201273;arabuta;7913
4201653;arvoredo;3239
4202081;bandeirante;1448
4202099;barra bonita;1337
4202156;belmonte;1907
4202537;bom jesus;4011
4202578;bom jesus do oeste;19038
4203105;caibi;16361
4203501;campo ere;31562
4203600;campos novos;610262
4203907;capinzal;107651
4204004;catanduvas;37137
4204103;caxambu do sul;21202
4204152;celso ramos;3458
4204202;chapeco;1073571
4204301;concordia;349785
4204350;cordilheira alta;24442
4204400;coronel freitas;29598
4204459;coronel martins;1226
4204707;cunha pora;121854
4204756;cunhatai;1165
4204905;descanso;9973
4205001;dionisio cerqueira;9455
4205175;entre rios;1063
4205209;erval velho;7179
4205308;faxinal dos guedes;129416
4205357;flor do sertao;867
4205431;formosa do sul;1453
4205605;galvao;19191
4206405;guaraciaba;33498
4206603;guaruja do sul;7228
4206652;guatambu;45685
4206702;herval d'oeste;93756
4206801;ibicare;3604
4207601;ipira;4567
4207650;ipora do oeste;8749
4207684;ipuacu;25633
4207700;ipumirim;32182
4207759;iraceminha;3170
4207809;irani;12904
4207858;irati;26041
4208005;ita;53156
4208401;itapiranga;83163
4208609;jabora;5082
4208955;jardinopolis;1143
4209003;joacaba;182380
4209177;jupia;2273
4209201;lacerdopolis;20180
4209458;lajeado grande;1673
4209854;lindoia do sul;11775
4210035;luzerna;27448
4210506;maravilha;187257
4210555;marema;18053
4210902;modelo;26406
4211009;mondai;106223
4211405;nova erechim;17568
4211454;nova itaberaba;23844
4211652;novo horizonte;4503
4211801;ouro;5674
4211850;ouro verde;2390
4211876;paial;1021
4212007;palma sola;20503
4212106;palmitos;36013
4212239;paraiso;19597
4212270;passos maia;27239
4212601;peritiba;5992
4212908;pinhalzinho;192416
4213104;piratuba;457020
4213153;planalto alegre;19498
4213401;ponte serrada;17474
4213906;presidente castello branco;1465
4214151;princesa;3746
4214201;quilombo;93035
4215075;riqueza;4550
4215208;romelandia;19404
4215356;saltinho;10074
4215554;santa helena;4511
4215687;santa terezinha do progresso;1386
4215695;santiago do sul;8702
4215752;sao bernardino;19099
4216008;sao carlos;46799
4216107;sao domingos;31934
4216255;sao joao do oeste;14221
4216701;sao jose do cedro;47964
4216909;sao lourenco do oeste;103505
4217154;sao miguel da boa vista;780
4217204;sao miguel do oeste;231696
4217303;saudades;66427
4217501;seara;122119
4217550;serra alta;23326
4217758;sul brasil;24374
4217956;tigrinhos;878
4218509;treze tilias;54896
4218756;tunapolis;3835
4218855;uniao do oeste;18843
4219101;vargeao;57069
4219150;vargem;2778
4219176;vargem bonita;138131
4219507;xanxere;265839
4219606;xavantina;5982
4219705;xaxim;184038
4219853;zortea;2613
