code_muni;territorialidades;vab_agropecuaria
4200051;abdon batista;15496
4200101;abelardo luz;84115
4200408;agua doce;92571
4200507;aguas de chapeco;22384
4200556;aguas frias;10084
4200754;alto bela vista;11709
4200804;anchieta;21621
4201273;arabuta;31810
4201653;arvoredo;20084
4202081;bandeirante;11915
4202099;barra bonita;12375
4202156;belmonte;9359
4202537;bom jesus;13420
4202578;bom jesus do oeste;12958
4203105;caibi;27244
4203501;campo ere;43055
4203600;campos novos;197031
4203907;capinzal;45118
4204004;catanduvas;31134
4204103;caxambu do sul;28084
4204152;celso ramos;13129
4204202;chapeco;115657
4204301;concordia;132547
4204350;cordilheira alta;16179
4204400;coronel freitas;45883
4204459;coronel martins;9598
4204707;cunha pora;34215
4204756;cunhatai;10489
4204905;descanso;34912
4205001;dionisio cerqueira;30101
4205175;entre rios;9223
4205209;erval velho;25043
4205308;faxinal dos guedes;61791
4205357;flor do sertao;6537
4205431;formosa do sul;10958
4205605;galvao;12892
4206405;guaraciaba;37206
4206603;guaruja do sul;11597
4206652;guatambu;33578
4206702;herval d'oeste;21753
4206801;ibicare;19557
4207601;ipira;17295
4207650;ipora do oeste;44740
4207684;ipuacu;20925
4207700;ipumirim;43724
4207759;iraceminha;24433
4207809;irani;33808
4207858;irati;6321
4208005;ita;26955
4208401;itapiranga;55831
4208609;jabora;38246
4208955;jardinopolis;14006
4209003;joacaba;42351
4209177;jupia;9740
4209201;lacerdopolis;16429
4209458;lajeado grande;10398
4209854;lindoia do sul;29910
4210035;luzerna;11391
4210506;maravilha;28155
4210555;marema;17032
4210902;modelo;11757
4211009;mondai;42047
4211405;nova erechim;20726
4211454;nova itaberaba;25769
4211652;novo horizonte;17890
4211801;ouro;29775
4211850;ouro verde;20990
4211876;paial;10234
4212007;palma sola;42690
4212106;palmitos;107291
4212239;paraiso;14393
4212270;passos maia;24393
4212601;peritiba;14139
4212908;pinhalzinho;26000
4213104;piratuba;12516
4213153;planalto alegre;11470
4213401;ponte serrada;38802
4213906;presidente castello branco;12508
4214151;princesa;8051
4214201;quilombo;39404
4215075;riqueza;16416
4215208;romelandia;16346
4215356;saltinho;15014
4215554;santa helena;10578
4215687;santa terezinha do progresso;14133
4215695;santiago do sul;6660
4215752;sao bernardino;13738
4216008;sao carlos;40457
4216107;sao domingos;42990
4216255;sao joao do oeste;33458
4216701;sao jose do cedro;35596
4216909;sao lourenco do oeste;44275
4217154;sao miguel da boa vista;7215
4217204;sao miguel do oeste;29019
4217303;saudades;31708
4217501;seara;82767
4217550;serra alta;11502
4217758;sul brasil;12813
4217956;tigrinhos;8254
4218509;treze tilias;17635
4218756;tunapolis;25459
4218855;uniao do oeste;15933
4219101;vargeao;16514
4219150;vargem;13612
4219176;vargem bonita;22257
4219507;xanxere;74742
4219606;xavantina;50329
4219705;xaxim;77167
4219853;zortea;13052
