code_muni;territorialidades;taxa_mortalidade_infantil
4200051;abdon batista;15,4
4200101;abelardo luz;12,1
4200408;agua doce;14,7
4200507;aguas de chapeco;15,5
4200556;aguas frias;11,4
4200754;alto bela vista;9,8
4200804;anchieta;16,6
4201273;arabuta;11,2
4201653;arvoredo;12,9
4202081;bandeirante;17,1
4202099;barra bonita;13,9
4202156;belmonte;14,8
4202537;bom jesus;14,2
4202578;bom jesus do oeste;13,8
4203105;caibi;13,8
4203501;campo ere;17,9
4203600;campos novos;11,4
4203907;capinzal;10,8
4204004;catanduvas;16,0
4204103;caxambu do sul;10,7
4204152;celso ramos;14,2
4204202;chapeco;10,6
4204301;concordia;10,5
4204350;cordilheira alta;11,8
4204400;coronel freitas;11,4
4204459;coronel martins;15,1
4204707;cunha pora;16,2
4204756;cunhatai;9,5
4204905;descanso;11,9
4205001;dionisio cerqueira;14,8
4205175;entre rios;15,8
4205209;erval velho;10,8
4205308;faxinal dos guedes;11,2
4205357;flor do sertao;17,3
4205431;formosa do sul;12,6
4205605;galvao;15,2
4206405;guaraciaba;10,6
4206603;guaruja do sul;13,6
4206652;guatambu;14,5
4206702;herval d'oeste;11,6
4206801;ibicare;14,2
4207601;ipira;13,2
4207650;ipora do oeste;12,5
4207684;ipuacu;17,6
4207700;ipumirim;12,0
4207759;iraceminha;12,6
4207809;irani;12,4
4207858;irati;13,4
4208005;ita;10,0
4208401;itapiranga;12,9
4208609;jabora;16,5
4208955;jardinopolis;14,5
4209003;joacaba;9,2
4209177;jupia;11,3
4209201;lacerdopolis;9,8
4209458;lajeado grande;11,6
4209854;lindoia do sul;11,1
4210035;luzerna;10,2
4210506;maravilha;9,5
4210555;marema;11,3
4210902;modelo;9,5
4211009;mondai;10,3
4211405;nova erechim;12,2
4211454;nova itaberaba;10,3
4211652;novo horizonte;12,5
4211850;ouro verde;17,6
4211876;paial;12,4
4212007;palma sola;16,6
4212106;palmitos;13,4
4212239;paraiso;13,6
4212270;passos maia;15,8
4212601;peritiba;9,8
4212908;pinhalzinho;9,5
4213104;piratuba;14,0
4213153;planalto alegre;9,9
4213401;ponte serrada;17,6
4213906;presidente castello branco;9,7
4214151;princesa;14,8
4214201;quilombo;13,7
4215075;riqueza;13,9
4215208;romelandia;16,6
4215356;saltinho;17,1
4215554;santa helena;13,6
4215687;santa terezinha do progresso;17,5
4215695;santiago do sul;15,5
4215752;sao bernardino;14,5
4216008;sao carlos;10,9
4216107;sao domingos;11,4
4216255;sao joao do oeste;10,5
4216701;sao jose do cedro;13,9
4216909;sao lourenco do oeste;15,9
4217154;sao miguel da boa vista;17,1
4217204;sao miguel do oeste;9,7
4217303;saudades;12,2
4217501;seara;10,5
4217550;serra alta;10,1
4217758;sul brasil;13,7
4217956;tigrinhos;12,5
4218509;treze tilias;10,4
4218756;tunapolis;13,9
4218855;uniao do oeste;14,5
4219101;vargeao;14,2
4219150;vargem;17,5
4219176;vargem bonita;16,5
4219507;xanxere;11,3
4219606;xavantina;11,4
4219705;xaxim;10,6
4219853;zortea;9,6
