code_muni;territorialidades;idhm
4200051;abdon batista;0,694
4200101;abelardo luz;0,696
4200408;agua doce;0,698
4200507;aguas de chapeco;0,713
4200556;aguas frias;0,745
4200754;alto bela vista;0,755
4200804;anchieta;0,699
4201273;arabuta;0,733
4201653;arvoredo;0,715
4202081;bandeirante;0,672
4202099;barra bonita;0,701
4202156;belmonte;0,705
4202537;bom jesus;0,718
4202578;bom jesus do oeste;0,712
4203105;caibi;0,728
4203501;campo ere;0,690
4203600;campos novos;0,742
4203907;capinzal;0,752
4204004;catanduvas;0,714
4204103;caxambu do sul;0,691
4204152;celso ramos;0,719
4204202;chapeco;0,790
4204301;concordia;0,800
4204350;cordilheira alta;0,747
4204400;coronel freitas;0,744
4204459;coronel martins;0,696
4204707;cunha pora;0,742
4204756;cunhatai;0,754
4204905;descanso;0,743
4205001;dionisio cerqueira;0,706
4205175;entre rios;0,657
4205209;erval velho;0,723
4205308;faxinal dos guedes;0,758
4205357;flor do sertao;0,708
4205431;formosa do sul;0,715
4205605;galvao;0,708
4206405;guaraciaba;0,751
4206603;guaruja do sul;0,730
4206652;guatambu;0,717
4206702;herval d'oeste;0,758
4206801;ibicare;0,708
4207601;ipira;0,736
4207650;ipora do oeste;0,759
4207684;ipuacu;0,660
4207700;ipumirim;0,738
4207759;iraceminha;0,722
4207809;irani;0,742
4207858;irati;0,707
4208005;ita;0,771
4208401;itapiranga;0,775
4208609;jabora;0,732
4208955;jardinopolis;0,709
4209003;joacaba;0,827
4209177;jupia;0,719
4209201;lacerdopolis;0,781
4209458;lajeado grande;0,771
4209854;lindoia do sul;0,743
4210035;luzerna;0,789
4210506;maravilha;0,781
4210555;marema;0,743
4210902;modelo;0,760
4211009;mondai;0,748
4211405;nova erechim;0,765
4211454;nova itaberaba;0,736
4211652;novo horizonte;0,706
4211850;ouro verde;0,695
4211876;paial;0,718
4212007;palma sola;0,704
4212106;palmitos;0,737
4212239;paraiso;0,700
4212270;passos maia;0,659
4212601;peritiba;0,766
4212908;pinhalzinho;0,783
4213104;piratuba;0,758
4213153;planalto alegre;0,751
4213401;ponte serrada;0,693
4213906;presidente castello branco;0,770
4214151;princesa;0,706
4214201;quilombo;0,730
4215075;riqueza;0,714
4215208;romelandia;0,692
4215356;saltinho;0,654
4215554;santa helena;0,727
4215687;santa terezinha do progresso;0,682
4215695;santiago do sul;0,728
4215752;sao bernardino;0,677
4216008;sao carlos;0,769
4216107;sao domingos;0,765
4216255;sao joao do oeste;0,761
4216701;sao jose do cedro;0,731
4216909;sao lourenco do oeste;0,749
4217154;sao miguel da boa vista;0,710
4217204;sao miguel do oeste;0,801
4217303;saudades;0,755
4217501;seara;0,779
4217550;serra alta;0,773
4217758;sul brasil;0,707
4217956;tigrinhos;0,717
4218509;treze tilias;0,795
4218756;tunapolis;0,752
4218855;uniao do oeste;0,705
4219101;vargeao;0,686
4219150;vargem;0,629
4219176;vargem bonita;0,718
4219507;xanxere;0,775
4219606;xavantina;0,749
4219705;xaxim;0,752
4219853;zortea;0,761
