code_muni;territorialidades;ig
4200051;abdon batista;0,45
4200101;abelardo luz;0,53
4200408;agua doce;0,54
4200507;aguas de chapeco;0,44
4200556;aguas frias;0,38
4200754;alto bela vista;0,46
4200804;anchieta;0,44
4201273;arabuta;0,45
4201653;arvoredo;0,36
4202081;bandeirante;0,40
4202099;barra bonita;0,40
4202156;belmonte;0,45
4202537;bom jesus;0,55
4202578;bom jesus do oeste;0,39
4203105;caibi;0,44
4203501;campo ere;0,51
4203600;campos novos;0,46
4203907;capinzal;0,45
4204004;catanduvas;0,47
4204103;caxambu do sul;0,50
4204152;celso ramos;0,39
4204202;chapeco;0,48
4204301;concordia;0,46
4204350;cordilheira alta;0,39
4204400;coronel freitas;0,40
4204459;coronel martins;0,44
4204707;cunha pora;0,38
4204756;cunhatai;0,46
4204905;descanso;0,43
4205001;dionisio cerqueira;0,53
4205175;entre rios;0,44
4205209;erval velho;0,47
4205308;faxinal dos guedes;0,49
4205357;flor do sertao;0,48
4205431;formosa do sul;0,42
4205605;galvao;0,45
4206405;guaraciaba;0,47
4206603;guaruja do sul;0,40
4206652;guatambu;0,45
4206702;herval d'oeste;0,42
4206801;ibicare;0,43
4207601;ipira;0,45
4207650;ipora do oeste;0,43
4207684;ipuacu;0,61
4207700;ipumirim;0,42
4207759;iraceminha;0,43
4207809;irani;0,42
4207858;irati;0,45
4208005;ita;0,45
4208401;itapiranga;0,45
4208609;jabora;0,45
4208955;jardinopolis;0,40
4209003;joacaba;0,54
4209177;jupia;0,55
4209201;lacerdopolis;0,39
4209458;lajeado grande;0,44
4209854;lindoia do sul;0,43
4210035;luzerna;0,43
4210506;maravilha;0,45
4210555;marema;0,41
4210902;modelo;0,43
4211009;mondai;0,40
4211405;nova erechim;0,44
4211454;nova itaberaba;0,55
4211652;novo horizonte;0,39
4211850;ouro verde;0,53
4211876;paial;0,44
4212007;palma sola;0,50
4212106;palmitos;0,46
4212239;paraiso;0,50
4212270;passos maia;0,47
4212601;peritiba;0,47
4212908;pinhalzinho;0,43
4213104;piratuba;0,43
4213153;planalto alegre;0,42
4213401;ponte serrada;0,44
4213906;presidente castello branco;0,47
4214151;princesa;0,42
4214201;quilombo;0,39
4215075;riqueza;0,44
4215208;romelandia;0,47
4215356;saltinho;0,50
4215554;santa helena;0,38
4215687;santa terezinha do progresso;0,56
4215695;santiago do sul;0,46
4215752;sao bernardino;0,45
4216008;sao carlos;0,46
4216107;sao domingos;0,58
4216255;sao joao do oeste;0,40
4216701;sao jose do cedro;0,48
4216909;sao lourenco do oeste;0,46
4217154;sao miguel da boa vista;0,50
4217204;sao miguel do oeste;0,50
4217303;saudades;0,33
4217501;seara;0,51
4217550;serra alta;0,41
4217758;sul brasil;0,45
4217956;tigrinhos;0,41
4218509;treze tilias;0,62
4218756;tunapolis;0,41
4218855;uniao do oeste;0,37
4219101;vargeao;0,45
4219150;vargem;0,50
4219176;vargem bonita;0,43
4219507;xanxere;0,48
4219606;xavantina;0,47
4219705;xaxim;0,43
4219853;zortea;0,42
