code_muni;territorialidades;perc_coleta_lixo
4200051;abdon batista;100,00
4200101;abelardo luz;95,55
4200408;agua doce;99,85
4200507;aguas de chapeco;96,24
4200556;aguas frias;98,18
4200754;alto bela vista;100,00
4200804;anchieta;100,00
4201273;arabuta;99,08
4201653;arvoredo;100,00
4202081;bandeirante;89,33
4202099;barra bonita;100,00
4202156;belmonte;93,77
4202537;bom jesus;99,29
4202578;bom jesus do oeste;100,00
4203105;caibi;96,07
4203501;campo ere;95,60
4203600;campos novos;99,36
4203907;capinzal;99,77
4204004;catanduvas;99,04
4204103;caxambu do sul;99,21
4204152;celso ramos;100,00
4204202;chapeco;99,65
4204301;concordia;99,72
4204350;cordilheira alta;85,80
4204400;coronel freitas;97,88
4204459;coronel martins;99,14
4204707;cunha pora;98,47
4204756;cunhatai;95,02
4204905;descanso;94,86
4205001;dionisio cerqueira;96,15
4205175;entre rios;80,85
4205209;erval velho;95,78
4205308;faxinal dos guedes;99,43
4205357;flor do sertao;100,00
4205431;formosa do sul;100,00
4205605;galvao;96,74
4206405;guaraciaba;94,50
4206603;guaruja do sul;97,81
4206652;guatambu;97,33
4206702;herval d'oeste;99,85
4206801;ibicare;100,00
4207601;ipira;99,88
4207650;ipora do oeste;98,31
4207684;ipuacu;97,93
4207700;ipumirim;100,00
4207759;iraceminha;87,15
4207809;irani;99,32
4207858;irati;97,71
4208005;ita;99,24
4208401;itapiranga;99,21
4208609;jabora;98,76
4208955;jardinopolis;100,00
4209003;joacaba;99,40
4209177;jupia;91,49
4209201;lacerdopolis;99,49
4209458;lajeado grande;98,85
4209854;lindoia do sul;100,00
4210035;luzerna;99,81
4210506;maravilha;99,20
4210555;marema;100,00
4210902;modelo;96,56
4211009;mondai;98,67
4211405;nova erechim;97,51
4211454;nova itaberaba;86,19
4211652;novo horizonte;81,48
4211850;ouro verde;90,51
4211876;paial;100,00
4212007;palma sola;99,00
4212106;palmitos;96,23
4212239;paraiso;89,10
4212270;passos maia;99,11
4212601;peritiba;99,28
4212908;pinhalzinho;99,44
4213104;piratuba;93,85
4213153;planalto alegre;95,15
4213401;ponte serrada;99,32
4213906;presidente castello branco;100,00
4214151;princesa;98,83
4214201;quilombo;97,84
4215075;riqueza;97,55
4215208;romelandia;82,88
4215356;saltinho;95,39
4215554;santa helena;98,31
4215687;santa terezinha do progresso;98,60
4215695;santiago do sul;100,00
4215752;sao bernardino;89,63
4216008;sao carlos;98,44
4216107;sao domingos;92,32
4216255;sao joao do oeste;98,43
4216701;sao jose do cedro;92,87
4216909;sao lourenco do oeste;95,62
4217154;sao miguel da boa vista;96,55
4217204;sao miguel do oeste;99,17
4217303;saudades;98,82
4217501;seara;99,56
4217550;serra alta;97,03
4217758;sul brasil;94,79
4217956;tigrinhos;100,00
4218509;treze tilias;99,45
4218756;tunapolis;100,00
4218855;uniao do oeste;98,73
4219101;vargeao;100,00
4219150;vargem;99,22
4219176;vargem bonita;96,27
4219507;xanxere;98,54
4219606;xavantina;100,00
4219705;xaxim;98,31
4219853;zortea;99,58
