code_muni;territorialidades;percent_pop_urbana
4200051;abdon batista;27,29
4200556;aguas frias;40,47
4200754;alto bela vista;30,17
4201273;arabuta;31,17
4201653;arvoredo;22,17
4202081;bandeirante;32,04
4202099;barra bonita;14,86
4202156;belmonte;48,31
4202537;bom jesus;59,18
4202578;bom jesus do oeste;30,35
4204103;caxambu do sul;48,86
4204152;celso ramos;31,47
4204350;cordilheira alta;38,44
4204459;coronel martins;27,87
4204756;cunhatai;30,23
4205175;entre rios;30,75
4205209;erval velho;65,30
4205357;flor do sertao;20,65
4205431;formosa do sul;41,68
4205605;galvao;67,60
4206603;guaruja do sul;54,10
4206652;guatambu;37,38
4206801;ibicare;46,16
4207601;ipira;53,05
4207759;iraceminha;34,52
4207858;irati;21,42
4208609;jabora;39,72
4208955;jardinopolis;45,24
4209177;jupia;48,60
4209201;lacerdopolis;52,75
4209458;lajeado grande;43,49
4209854;lindoia do sul;41,58
4210555;marema;34,50
4210902;modelo;66,55
4211405;nova erechim;75,11
4211454;nova itaberaba;35,86
4211652;novo horizonte;33,49
4211850;ouro verde;31,48
4211876;paial;19,06
4212239;paraiso;35,56
4212270;passos maia;24,84
4212601;peritiba;49,56
4213104;piratuba;59,65
4213153;planalto alegre;40,20
4213906;presidente castello branco;32,06
4214151;princesa;36,40
4215075;riqueza;44,52
4215356;saltinho;31,68
4215554;santa helena;37,03
4215687;santa terezinha do progresso;18,61
4215695;santiago do sul;44,37
4215752;sao bernardino;26,86
4217154;sao miguel da boa vista;23,06
4217550;serra alta;55,86
4217758;sul brasil;36,55
4217956;tigrinhos;19,52
4218756;tunapolis;30,61
4218855;uniao do oeste;38,04
4219101;vargeao;51,53
4219150;vargem;31,91
4219176;vargem bonita;55,85
4219606;xavantina;26,99
4219853;zortea;78,10
4200408;agua doce;49,32
4200507;aguas de chapeco;52,96
4200804;anchieta;40,53
4203105;caibi;57,53
4203501;campo ere;66,72
4204004;catanduvas;84,71
4204905;descanso;49,77
4207650;ipora do oeste;49,02
4207684;ipuacu;20,26
4207700;ipumirim;43,60
4207809;irani;68,41
4208005;ita;63,13
4210035;luzerna;76,05
4211801;ouro;65,71
4212007;palma sola;57,54
4215208;romelandia;36,17
4216107;sao domingos;66,52
4216255;sao joao do oeste;35,11
4217303;saudades;56,82
4218509;treze tilias;74,36
4200101;abelardo luz;55,96
4204400;coronel freitas;59,40
4204707;cunha pora;61,42
4205001;dionisio cerqueira;68,81
4205308;faxinal dos guedes;72,39
4206405;guaraciaba;46,90
4208401;itapiranga;49,43
4211009;mondai;61,63
4212106;palmitos;61,62
4212908;pinhalzinho;83,36
4213401;ponte serrada;69,11
4214201;quilombo;56,07
4216008;sao carlos;67,07
4216701;sao jose do cedro;61,73
4217501;seara;68,41
4203600;campos novos;82,45
4203907;capinzal;85,48
4206702;herval d'oeste;88,76
4209003;joacaba;92,24
4210506;maravilha;81,84
4216909;sao lourenco do oeste;77,46
4217204;sao miguel do oeste;88,32
4219507;xanxere;88,70
4219705;xaxim;81,54
4204301;concordia;79,95
4204202;chapeco;91,60
