code_muni;territorialidades;percent_domc_energia_eletrica
4200051;abdon batista;100,00
4200101;abelardo luz;99,18
4200408;agua doce;99,29
4200507;aguas de chapeco;99,50
4200556;aguas frias;99,28
4200754;alto bela vista;99,80
4200804;anchieta;99,74
4201273;arabuta;99,90
4201653;arvoredo;99,92
4202081;bandeirante;99,78
4202099;barra bonita;100,00
4202156;belmonte;100,00
4202537;bom jesus;99,64
4202578;bom jesus do oeste;100,00
4203105;caibi;99,74
4203501;campo ere;98,42
4203600;campos novos;99,92
4203907;capinzal;99,98
4204004;catanduvas;99,58
4204103;caxambu do sul;98,44
4204152;celso ramos;99,77
4204202;chapeco;99,75
4204301;concordia;99,72
4204350;cordilheira alta;100,00
4204400;coronel freitas;99,62
4204459;coronel martins;98,33
4204707;cunha pora;99,43
4204756;cunhatai;99,92
4204905;descanso;99,53
4205001;dionisio cerqueira;97,24
4205175;entre rios;96,78
4205209;erval velho;99,78
4205308;faxinal dos guedes;99,96
4205357;flor do sertao;98,93
4205431;formosa do sul;100,00
4205605;galvao;99,35
4206405;guaraciaba;100,00
4206603;guaruja do sul;99,74
4206652;guatambu;99,65
4206702;herval d'oeste;99,85
4206801;ibicare;100,00
4207601;ipira;99,93
4207650;ipora do oeste;100,00
4207684;ipuacu;94,18
4207700;ipumirim;99,90
4207759;iraceminha;100,00
4207809;irani;99,57
4207858;irati;99,58
4208005;ita;99,76
4208401;itapiranga;99,97
4208609;jabora;100,00
4208955;jardinopolis;99,93
4209003;joacaba;100,00
4209177;jupia;98,41
4209201;lacerdopolis;100,00
4209458;lajeado grande;98,94
4209854;lindoia do sul;99,41
4210035;luzerna;99,95
4210506;maravilha;99,97
4210555;marema;100,00
4210902;modelo;100,00
4211009;mondai;99,76
4211405;nova erechim;99,95
4211454;nova itaberaba;99,59
4211652;novo horizonte;99,54
4211850;ouro verde;99,29
4211876;paial;99,44
4212007;palma sola;99,11
4212106;palmitos;99,63
4212239;paraiso;99,57
4212270;passos maia;99,25
4212601;peritiba;99,39
4212908;pinhalzinho;99,90
4213104;piratuba;99,88
4213153;planalto alegre;99,61
4213401;ponte serrada;98,97
4213906;presidente castello branco;100,00
4214151;princesa;99,49
4214201;quilombo;99,96
4215075;riqueza;99,67
4215208;romelandia;99,70
4215356;saltinho;97,86
4215554;santa helena;99,70
4215687;santa terezinha do progresso;99,90
4215695;santiago do sul;100,00
4215752;sao bernardino;98,64
4216008;sao carlos;99,52
4216107;sao domingos;99,81
4216255;sao joao do oeste;100,00
4216701;sao jose do cedro;99,49
4216909;sao lourenco do oeste;99,79
4217154;sao miguel da boa vista;99,10
4217204;sao miguel do oeste;99,85
4217303;saudades;100,00
4217501;seara;99,85
4217550;serra alta;99,75
4217758;sul brasil;100,00
4217956;tigrinhos;98,98
4218509;treze tilias;100,00
4218756;tunapolis;99,68
4218855;uniao do oeste;98,71
4219101;vargeao;98,67
4219150;vargem;99,25
4219176;vargem bonita;99,66
4219507;xanxere;99,17
4219606;xavantina;99,63
4219705;xaxim;99,44
4219853;zortea;99,91
