code_muni;territorialidades;perc_domc_abstecimento_agua
4200051;abdon batista;91,73
4200101;abelardo luz;91,32
4200408;agua doce;88,88
4200507;aguas de chapeco;90,86
4200556;aguas frias;88,67
4200754;alto bela vista;89,53
4200804;anchieta;92,97
4201273;arabuta;78,79
4201653;arvoredo;79,17
4202081;bandeirante;90,43
4202099;barra bonita;93,93
4202156;belmonte;89,38
4202537;bom jesus;94,13
4202578;bom jesus do oeste;95,68
4203105;caibi;82,92
4203501;campo ere;93,27
4203600;campos novos;95,59
4203907;capinzal;94,93
4204004;catanduvas;96,75
4204103;caxambu do sul;82,22
4204152;celso ramos;90,49
4204202;chapeco;92,46
4204301;concordia;95,97
4204350;cordilheira alta;59,21
4204400;coronel freitas;92,68
4204459;coronel martins;79,27
4204707;cunha pora;93,63
4204756;cunhatai;93,28
4204905;descanso;89,13
4205001;dionisio cerqueira;95,20
4205175;entre rios;82,92
4205209;erval velho;88,63
4205308;faxinal dos guedes;88,03
4205357;flor do sertao;98,39
4205431;formosa do sul;83,40
4205605;galvao;93,20
4206405;guaraciaba;88,68
4206603;guaruja do sul;97,30
4206652;guatambu;86,71
4206702;herval d'oeste;95,87
4206801;ibicare;91,55
4207601;ipira;92,27
4207650;ipora do oeste;94,61
4207684;ipuacu;58,41
4207700;ipumirim;83,66
4207759;iraceminha;87,64
4207809;irani;91,69
4207858;irati;97,28
4208005;ita;87,35
4208401;itapiranga;96,22
4208609;jabora;74,31
4208955;jardinopolis;93,84
4209003;joacaba;97,25
4209177;jupia;94,06
4209201;lacerdopolis;72,11
4209458;lajeado grande;76,47
4209854;lindoia do sul;95,61
4210035;luzerna;93,42
4210506;maravilha;92,66
4210555;marema;51,95
4210902;modelo;95,13
4211009;mondai;88,96
4211405;nova erechim;98,20
4211454;nova itaberaba;73,24
4211652;novo horizonte;85,66
4211850;ouro verde;90,76
4211876;paial;94,34
4212007;palma sola;93,77
4212106;palmitos;94,99
4212239;paraiso;88,44
4212270;passos maia;85,69
4212601;peritiba;93,53
4212908;pinhalzinho;96,12
4213104;piratuba;85,34
4213153;planalto alegre;91,17
4213401;ponte serrada;86,21
4213906;presidente castello branco;86,54
4214151;princesa;95,45
4214201;quilombo;87,53
4215075;riqueza;93,06
4215208;romelandia;93,70
4215356;saltinho;94,65
4215554;santa helena;89,61
4215687;santa terezinha do progresso;92,63
4215695;santiago do sul;97,22
4215752;sao bernardino;81,85
4216008;sao carlos;93,09
4216107;sao domingos;90,96
4216255;sao joao do oeste;91,84
4216701;sao jose do cedro;97,42
4216909;sao lourenco do oeste;94,35
4217154;sao miguel da boa vista;97,11
4217204;sao miguel do oeste;91,87
4217303;saudades;87,78
4217501;seara;88,30
4217550;serra alta;95,42
4217758;sul brasil;94,36
4217956;tigrinhos;98,28
4218509;treze tilias;89,64
4218756;tunapolis;95,85
4218855;uniao do oeste;87,30
4219101;vargeao;77,39
4219150;vargem;81,13
4219176;vargem bonita;84,68
4219507;xanxere;68,94
4219606;xavantina;86,94
4219705;xaxim;94,32
4219853;zortea;96,08
