code_muni;territorialidades;num_estab_saude
4200051;abdon batista;1
4200101;abelardo luz;9
4200408;agua doce;5
4200507;aguas de chapeco;2
4200556;aguas frias;2
4200754;alto bela vista;4
4200804;anchieta;2
4201273;arabuta;6
4201653;arvoredo;1
4202081;bandeirante;1
4202099;barra bonita;2
4202156;belmonte;1
4202537;bom jesus;1
4202578;bom jesus do oeste;1
4203105;caibi;6
4203501;campo ere;7
4203600;campos novos;21
4203907;capinzal;15
4204004;catanduvas;4
4204103;caxambu do sul;4
4204152;celso ramos;3
4204202;chapeco;117
4204301;concordia;85
4204350;cordilheira alta;2
4204400;coronel freitas;4
4204459;coronel martins;2
4204707;cunha pora;8
4204756;cunhatai;1
4204905;descanso;3
4205001;dionisio cerqueira;10
4205175;entre rios;1
4205209;erval velho;2
4205308;faxinal dos guedes;6
4205357;flor do sertao;1
4205431;formosa do sul;1
4205605;galvao;3
4206405;guaraciaba;6
4206603;guaruja do sul;2
4206652;guatambu;2
4206702;herval d'oeste;9
4206801;ibicare;2
4207601;ipira;6
4207650;ipora do oeste;4
4207684;ipuacu;5
4207700;ipumirim;11
4207759;iraceminha;3
4207809;irani;8
4207858;irati;2
4208005;ita;7
4208401;itapiranga;11
4208609;jabora;2
4208955;jardinopolis;1
4209003;joacaba;37
4209177;jupia;1
4209201;lacerdopolis;2
4209458;lajeado grande;1
4209854;lindoia do sul;4
4210035;luzerna;2
4210506;maravilha;15
4210555;marema;1
4210902;modelo;4
4211009;mondai;9
4211405;nova erechim;2
4211454;nova itaberaba;0
4211652;novo horizonte;1
4211801;ouro;4
4211850;ouro verde;1
4211876;paial;1
4212007;palma sola;6
4212106;palmitos;12
4212239;paraiso;2
4212270;passos maia;5
4212601;peritiba;2
4212908;pinhalzinho;4
4213104;piratuba;4
4213153;planalto alegre;1
4213401;ponte serrada;12
4213906;presidente castello branco;1
4214151;princesa;1
4214201;quilombo;9
4215075;riqueza;4
4215208;romelandia;5
4215356;saltinho;1
4215554;santa helena;1
4215687;santa terezinha do progresso;1
4215695;santiago do sul;1
4215752;sao bernardino;1
4216008;sao carlos;9
4216107;sao domingos;8
4216255;sao joao do oeste;2
4216701;sao jose do cedro;6
4216909;sao lourenco do oeste;18
4217154;sao miguel da boa vista;1
4217204;sao miguel do oeste;41
4217303;saudades;3
4217501;seara;18
4217550;serra alta;1
4217758;sul brasil;1
4217956;tigrinhos;1
4218509;treze tilias;2
4218756;tunapolis;3
4218855;uniao do oeste;1
4219101;vargeao;2
4219150;vargem;1
4219176;vargem bonita;6
4219507;xanxere;45
4219606;xavantina;7
4219705;xaxim;18
4219853;zortea;1
