code_muni;territorialidades;num_leitos_estab_saude
4200051;abdon batista;0
4200101;abelardo luz;88
4200408;agua doce;33
4200507;aguas de chapeco;0
4200556;aguas frias;0
4200754;alto bela vista;30
4200804;anchieta;21
4201273;arabuta;22
4201653;arvoredo;0
4202081;bandeirante;0
4202099;barra bonita;0
4202156;belmonte;0
4202537;bom jesus;0
4202578;bom jesus do oeste;0
4203105;caibi;33
4203501;campo ere;50
4203600;campos novos;171
4203907;capinzal;136
4204004;catanduvas;31
4204103;caxambu do sul;29
4204152;celso ramos;0
4204202;chapeco;394
4204301;concordia;199
4204350;cordilheira alta;0
4204400;coronel freitas;28
4204459;coronel martins;0
4204707;cunha pora;50
4204756;cunhatai;0
4204905;descanso;30
4205001;dionisio cerqueira;50
4205175;entre rios;0
4205209;erval velho;32
4205308;faxinal dos guedes;48
4205357;flor do sertao;0
4205431;formosa do sul;0
4205605;galvao;21
4206405;guaraciaba;43
4206603;guaruja do sul;15
4206652;guatambu;0
4206702;herval d'oeste;0
4206801;ibicare;42
4207601;ipira;29
4207650;ipora do oeste;23
4207684;ipuacu;0
4207700;ipumirim;12
4207759;iraceminha;0
4207809;irani;46
4207858;irati;0
4208005;ita;42
4208401;itapiranga;54
4208609;jabora;12
4208955;jardinopolis;0
4209003;joacaba;166
4209177;jupia;0
4209201;lacerdopolis;0
4209458;lajeado grande;0
4209854;lindoia do sul;25
4210035;luzerna;0
4210506;maravilha;78
4210555;marema;0
4210902;modelo;30
4211009;mondai;45
4211405;nova erechim;33
4211454;nova itaberaba;0
4211652;novo horizonte;0
4211801;ouro;0
4211850;ouro verde;0
4211876;paial;0
4212007;palma sola;43
4212106;palmitos;72
4212239;paraiso;0
4212270;passos maia;0
4212601;peritiba;34
4212908;pinhalzinho;0
4213104;piratuba;0
4213153;planalto alegre;0
4213401;ponte serrada;60
4213906;presidente castello branco;0
4214151;princesa;0
4214201;quilombo;48
4215075;riqueza;0
4215208;romelandia;0
4215356;saltinho;0
4215554;santa helena;0
4215687;santa terezinha do progresso;0
4215695;santiago do sul;0
4215752;sao bernardino;0
4216008;sao carlos;65
4216107;sao domingos;0
4216255;sao joao do oeste;33
4216701;sao jose do cedro;29
4216909;sao lourenco do oeste;61
4217154;sao miguel da boa vista;0
4217204;sao miguel do oeste;76
4217303;saudades;34
4217501;seara;45
4217550;serra alta;0
4217758;sul brasil;0
4217956;tigrinhos;0
4218509;treze tilias;36
4218756;tunapolis;38
4218855;uniao do oeste;0
4219101;vargeao;22
4219150;vargem;0
4219176;vargem bonita;0
4219507;xanxere;162
4219606;xavantina;26
4219705;xaxim;46
4219853;zortea;0
