code_muni;territorialidades;taxa_analfabetismo
4200051;abdon batista;9,73
4200101;abelardo luz;11,05
4200408;agua doce;7,20
4200507;aguas de chapeco;6,40
4200556;aguas frias;9,09
4200754;alto bela vista;4,04
4200804;anchieta;7,21
4201273;arabuta;4,04
4201653;arvoredo;9,87
4202081;bandeirante;8,92
4202099;barra bonita;13,57
4202156;belmonte;9,39
4202537;bom jesus;10,55
4202578;bom jesus do oeste;7,16
4203105;caibi;8,39
4203501;campo ere;12,94
4203600;campos novos;6,64
4203907;capinzal;5,59
4204004;catanduvas;6,17
4204103;caxambu do sul;10,77
4204152;celso ramos;8,69
4204202;chapeco;4,45
4204301;concordia;4,20
4204350;cordilheira alta;4,86
4204400;coronel freitas;8,30
4204459;coronel martins;11,43
4204707;cunha pora;4,88
4204756;cunhatai;3,95
4204905;descanso;5,41
4205001;dionisio cerqueira;10,18
4205175;entre rios;14,93
4205209;erval velho;7,53
4205308;faxinal dos guedes;6,97
4205357;flor do sertao;11,97
4205431;formosa do sul;7,72
4205605;galvao;14,28
4206405;guaraciaba;6,59
4206603;guaruja do sul;6,33
4206652;guatambu;10,21
4206702;herval d'oeste;4,81
4206801;ibicare;6,73
4207601;ipira;5,02
4207650;ipora do oeste;3,34
4207684;ipuacu;11,07
4207700;ipumirim;5,09
4207759;iraceminha;7,10
4207809;irani;7,37
4207858;irati;11,56
4208005;ita;6,08
4208401;itapiranga;3,28
4208609;jabora;7,29
4208955;jardinopolis;8,99
4209003;joacaba;3,17
4209177;jupia;10,18
4209201;lacerdopolis;5,41
4209458;lajeado grande;7,39
4209854;lindoia do sul;5,44
4210035;luzerna;2,16
4210506;maravilha;4,98
4210555;marema;8,42
4210902;modelo;6,67
4211009;mondai;4,55
4211405;nova erechim;5,77
4211454;nova itaberaba;9,14
4211652;novo horizonte;12,99
4211850;ouro verde;11,69
4211876;paial;9,23
4212007;palma sola;8,97
4212106;palmitos;6,89
4212239;paraiso;11,07
4212270;passos maia;9,75
4212601;peritiba;2,12
4212908;pinhalzinho;4,95
4213104;piratuba;5,40
4213153;planalto alegre;11,98
4213401;ponte serrada;9,66
4213906;presidente castello branco;4,70
4214151;princesa;10,36
4214201;quilombo;8,22
4215075;riqueza;8,43
4215208;romelandia;11,36
4215356;saltinho;13,98
4215554;santa helena;9,82
4215687;santa terezinha do progresso;13,18
4215695;santiago do sul;11,41
4215752;sao bernardino;11,57
4216008;sao carlos;4,71
4216107;sao domingos;9,27
4216255;sao joao do oeste;1,05
4216701;sao jose do cedro;6,00
4216909;sao lourenco do oeste;6,70
4217154;sao miguel da boa vista;11,08
4217204;sao miguel do oeste;4,64
4217303;saudades;4,42
4217501;seara;5,20
4217550;serra alta;6,14
4217758;sul brasil;13,49
4217956;tigrinhos;10,26
4218509;treze tilias;4,48
4218756;tunapolis;3,89
4218855;uniao do oeste;9,81
4219101;vargeao;8,49
4219150;vargem;13,86
4219176;vargem bonita;6,93
4219507;xanxere;5,62
4219606;xavantina;6,47
4219705;xaxim;5,70
4219853;zortea;7,17
