code_muni;territorialidades;pop_economicamente_ativa
4200051;abdon batista;1076
4200101;abelardo luz;8198
4200408;agua doce;3545
4200507;aguas de chapeco;3261
4200556;aguas frias;1346
4200754;alto bela vista;1191
4200804;anchieta;3604
4201273;arabuta;2763
4201653;arvoredo;1433
4202081;bandeirante;1499
4202099;barra bonita;1052
4202156;belmonte;1539
4202537;bom jesus;1221
4202578;bom jesus do oeste;1337
4203105;caibi;3659
4203501;campo ere;4700
4203600;campos novos;16030
4203907;capinzal;11093
4204004;catanduvas;4651
4204103;caxambu do sul;2673
4204152;celso ramos;1301
4204202;chapeco;103239
4204301;concordia;40040
4204350;cordilheira alta;2217
4204400;coronel freitas;5772
4204459;coronel martins;1076
4204707;cunha pora;6586
4204756;cunhatai;1204
4204905;descanso;5442
4205001;dionisio cerqueira;6572
4205175;entre rios;1369
4205209;erval velho;2116
4205308;faxinal dos guedes;5476
4205357;flor do sertao;966
4205431;formosa do sul;1279
4205605;galvao;1726
4206405;guaraciaba;6605
4206603;guaruja do sul;2727
4206652;guatambu;2348
4206702;herval d'oeste;10970
4206801;ibicare;1771
4207601;ipira;2758
4207650;ipora do oeste;5066
4207684;ipuacu;2554
4207700;ipumirim;4290
4207759;iraceminha;2579
4207809;irani;5135
4207858;irati;992
4208005;ita;3695
4208401;itapiranga;8920
4208609;jabora;2309
4208955;jardinopolis;989
4209003;joacaba;15799
4209177;jupia;1030
4209201;lacerdopolis;1256
4209458;lajeado grande;758
4209854;lindoia do sul;2685
4210035;luzerna;3131
4210506;maravilha;12642
4210555;marema;1220
4210902;modelo;2402
4211009;mondai;6283
4211405;nova erechim;2581
4211454;nova itaberaba;2210
4211652;novo horizonte;1771
4211850;ouro verde;826
4211876;paial;1013
4212007;palma sola;4221
4212106;palmitos;9205
4212239;paraiso;2273
4212270;passos maia;2217
4212601;peritiba;1891
4212908;pinhalzinho;9693
4213104;piratuba;2707
4213153;planalto alegre;1533
4213401;ponte serrada;5204
4213906;presidente castello branco;1137
4214151;princesa;1544
4214201;quilombo;5779
4215075;riqueza;2699
4215208;romelandia;3052
4215356;saltinho;1987
4215554;santa helena;1601
4215687;santa terezinha do progresso;1543
4215695;santiago do sul;769
4215752;sao bernardino;1343
4216008;sao carlos;6239
4216107;sao domingos;5071
4216255;sao joao do oeste;4027
4216701;sao jose do cedro;7781
4216909;sao lourenco do oeste;12516
4217154;sao miguel da boa vista;1201
4217204;sao miguel do oeste;21700
4217303;saudades;5661
4217501;seara;10499
4217550;serra alta;1998
4217758;sul brasil;1600
4217956;tigrinhos;1018
4218509;treze tilias;3597
4218756;tunapolis;2920
4218855;uniao do oeste;1543
4219101;vargeao;1756
4219150;vargem;998
4219176;vargem bonita;2307
4219507;xanxere;22532
4219606;xavantina;2728
4219705;xaxim;14171
4219853;zortea;1792
