code_muni;territorialidades;taxa_desocupacao
4200051;abdon batista;1,07
4200101;abelardo luz;3,02
4200408;agua doce;2,23
4200507;aguas de chapeco;2,33
4200556;aguas frias;2,28
4200754;alto bela vista;2,37
4200804;anchieta;2,72
4201273;arabuta;2,21
4201653;arvoredo;0,70
4202081;bandeirante;0,88
4202099;barra bonita;NA
4202156;belmonte;2,19
4202537;bom jesus;2,02
4202578;bom jesus do oeste;0,93
4203105;caibi;0,84
4203501;campo ere;4,62
4203600;campos novos;3,58
4203907;capinzal;3,37
4204004;catanduvas;3,09
4204103;caxambu do sul;1,64
4204152;celso ramos;0,15
4204202;chapeco;3,87
4204301;concordia;2,27
4204350;cordilheira alta;3,40
4204400;coronel freitas;1,76
4204459;coronel martins;1,05
4204707;cunha pora;1,80
4204756;cunhatai;0,26
4204905;descanso;2,17
4205001;dionisio cerqueira;4,14
4205175;entre rios;0,54
4205209;erval velho;2,80
4205308;faxinal dos guedes;2,20
4205357;flor do sertao;0,50
4205431;formosa do sul;0,17
4205605;galvao;3,16
4206405;guaraciaba;1,67
4206603;guaruja do sul;4,73
4206652;guatambu;2,46
4206702;herval d'oeste;2,73
4206801;ibicare;2,93
4207601;ipira;0,55
4207650;ipora do oeste;1,47
4207684;ipuacu;1,43
4207700;ipumirim;0,94
4207759;iraceminha;0,45
4207809;irani;4,14
4207858;irati;0,54
4208005;ita;1,57
4208401;itapiranga;1,52
4208609;jabora;1,50
4208955;jardinopolis;2,45
4209003;joacaba;4,10
4209177;jupia;2,47
4209201;lacerdopolis;1,30
4209458;lajeado grande;0,40
4209854;lindoia do sul;0,40
4210035;luzerna;1,62
4210506;maravilha;2,57
4210555;marema;0,29
4210902;modelo;0,83
4211009;mondai;1,70
4211405;nova erechim;0,86
4211454;nova itaberaba;1,35
4211652;novo horizonte;0,62
4211850;ouro verde;1,31
4211876;paial;0,23
4212007;palma sola;3,02
4212106;palmitos;2,11
4212239;paraiso;1,90
4212270;passos maia;0,54
4212601;peritiba;0,84
4212908;pinhalzinho;2,79
4213104;piratuba;1,78
4213153;planalto alegre;0,58
4213401;ponte serrada;3,65
4213906;presidente castello branco;0,69
4214151;princesa;2,78
4214201;quilombo;1,41
4215075;riqueza;0,75
4215208;romelandia;1,79
4215356;saltinho;0,49
4215554;santa helena;0,82
4215687;santa terezinha do progresso;0,82
4215695;santiago do sul;0,82
4215752;sao bernardino;NA
4216008;sao carlos;1,94
4216107;sao domingos;2,76
4216255;sao joao do oeste;0,88
4216701;sao jose do cedro;2,19
4216909;sao lourenco do oeste;1,64
4217154;sao miguel da boa vista;0,74
4217204;sao miguel do oeste;3,87
4217303;saudades;0,97
4217501;seara;1,35
4217550;serra alta;0,81
4217758;sul brasil;0,65
4217956;tigrinhos;1,96
4218509;treze tilias;1,99
4218756;tunapolis;0,97
4218855;uniao do oeste;2,57
4219101;vargeao;3,23
4219150;vargem;1,83
4219176;vargem bonita;3,76
4219507;xanxere;3,08
4219606;xavantina;0,32
4219705;xaxim;2,46
4219853;zortea;1,88
